Title,Location,Bedrooms,Bathrooms,House Size,Description,Price
5 Bedroom House,Peponi,5,6,0.5 acres,"Set in the prestigious and sought after Peponi Estate, this 5-Bedroom family home set over",KSh 350 000
4 Bedroom House,Nyari,4,5,0.5 acres,"4  bedroom en-suite , Living room with fireplace , separate dining , a Family room",POA
6 Bedroom House,Kilimani,6,3,,"Commercial Space for Rent – Kilimani

?? Rent: Ksh 240,000/month (slightly",KSh 240 000
4 Bedroom House,Lakeview,4,4,1 acres,Welcome to your dream home in the beautiful Lake View neighborhood! This rustic 4-bedroom,KSh 350 000
4 Bedroom House,Lavington,4,4,0.5 acres,"?? Lavington, Nairobi

4 Bedroom + DSQ Apartment for Rent & Sale

?? Rent: KSh 250,000",KSh 250 000
3 Bedroom House,Karen,3,6,0.5 acres,"?? Karen 
3 bedroom Plus Dsq To Let in Karen

Guide Rent Kshs.100,000/-

Features:
?",KSh 100 000
3 Bedroom House,Runda,3,2,1 acres,"In Runda. 
Exclusive 3 Bedroom Fully Furnished Guesthouse, master ensuite. 
With a",KSh 200 000
5 Bedroom House,Kileleshwa,5,4,0.5 acres,*In a secure green gated community of Kileleshwa gardens is this 5 bedroom house with a 2,KSh 350 000
4 Bedroom House,Westlands,4,3,0.5 acres,Exclusive 4bedrooms maisonett in the leafy surbubs of Westlands available for immediate,KSh 90 000
4 Bedroom House,Runda,4,4,0.5 acres,"Runda 
4bedroom plus two dsq fully furnished house to let 
Master bedroom en suite",KSh 520 000
3 Bedroom House,Langata,3,2,0.5 acres,Spacious bungalow 3bedroom standalone plus sq available to let in the upper langata near,KSh 70 000
3 Bedroom House,Kikuyu,3,2,0.5 acres,Sigona 3 bedrooms  to let no available,KSh 50 000
2 Bedroom House,Runda,2,2,0.5 acres,"Charming Two-Bedroom Furnished Cottage for Rent in Runda – $2,000 
Escape to the serene",KSh 260 000
5 Bedroom House,Runda,5,5,0.5 acres,"Rustic 5-Bedroom Home with a Pool in Runda
Tucked away in the serene and leafy suburb of",KSh 500 000
2 Bedroom House,Lower Kabete,2,1,0.5 acres,"#tolet 

#2bedrooms  #bungalow to let 
Location #KABETE  off Western bypass at greenbelt",KSh 35 000
3 Bedroom House,Limuru,3,3,1 acres,"- All bedrooms are ensuite with fireplaces.
- Modern finishes throughout the house.
-",KSh 200 000
5 Bedroom House,Spring Valley,5,5,5 acres,"This property is located near the French Embassy and in a gated compound. 
The",KSh 420 000
1 Bedroom House,Peponi,1,5,0.5 acres,"FEATURES
In a compound of 2 units.
Spacious and well-lit rooms.
Modern Kitchen.
Modern",KSh 195 000
5 Bedroom House,Muthaiga,5,5,1 acres,Introducing an exquisite rental opportunity in the prestigious Old Muthaiga neighborhood!,KSh 700 000
5 Bedroom House,Syokimau,5,6,0.5 acres,"??Syokimau terraces available??
5 Bedroom All En-suite Plus Dsq For Rent in Syokimau, Off",KSh 125 000
5 Bedroom House,Kiambu Road,5,5,0.5 acres,"Magnificently done, spacious and uniquely situated is this 5bedroom villa along Kiambu",KSh 250 000
2 Bedroom House,Spring Valley,2,2,0.5 acres,"TWO BEDROOM HOUSE TO LET 
The following is a elegant two bedroom house plus dsq to let",KSh 150 000
3 Bedroom House,Runda,3,3,0.5 acres,"Three bedrooms with modern interiors in a gated community with a private garden.

Rent is",KSh 320 000
3 Bedroom House,Kerarapon,3,4,0.25 acres,"Three bedrooms bungalow plus 1 bedroom guest wing for Rent in kerarapon.

Amenities:
*A",KSh 130 000
4 Bedroom House,Kilimani,4,3,0.5 acres,Tucked away in Kilimani is this stunning 4 bedrooms Maisonette  to let . Designed with,KSh 110 000
4 Bedroom House,Ongata Rongai,4,4,0.05 acres,"ONGATA RONGAI 
3 bdrms with Dsq
All bedrooms ensuite
Inbuilt closets 
On eighth acre",KSh 45 000
3 Bedroom House,Kyuna,3,3,50 acres,In this sought after neighborhood lies this magnificent three bedrooms nicely refurbished,KSh 250 000
5 Bedroom House,Syokimau,5,6,0.5 acres,"NEW HOUSE IN SYOKIMAU
4 Bedroom Master En-suite Plus Dsq Massionatte For Rent In Syokimau,",KSh 100 000
4 Bedroom House,Karen,4,4,0.2 ha,kerarapon drive. 4 bedroom master ensuite with sq and a store. Standalone. Rent.180k,KSh 180 000
4 Bedroom House,Runda,4,4,0.5 acres,"A 4bdrm townhouse to let in runda.
Well maintained 4bdrm unfurnished townhouse,all ensuite",KSh 270 000
4 Bedroom House,Langata,4,2,0.5 acres,"#Bright_Properties ft Peaceful & Happy Homes 

      4 Bedrooms Maisonette plus dsq to",KSh 100 000
5 Bedroom House,Thigiri,5,5,1 acres,"5br old cozy with character mansion on half acre
Old cozy 5br mansion with character on",KSh 400 000
3 Bedroom House,Muthiga,3,2,0.8 acres,"#tolet 
Spacious #vintagestyle #home / #bungalow to let off #WaiyakiWay Regen.
Master",KSh 45 000
4 Bedroom House,Rosslyn,4,4,0.5 acres,"4-Bedroom Ensuite in Gated Community – Roslyn

This stunning 4-bedroom all-ensuite house",KSh 400 000
5 Bedroom House,Runda,5,5,50 m²,"Rustic 5-Bedroom Home with a Pool in Runda
Tucked away in the serene and leafy suburb of",KSh 500 000
6 Bedroom House,Gigiri,6,6,0.5 acres,"6 bedroom ,4baths commercial/ Residential House to let at gigiri, Whispers area.

This",KSh 450 000
3 Bedroom House,Sigona,3,1,0.5 acres,Sigona 3 br shared compound  rent 30k,KSh 30 000
5 Bedroom House,Karen,5,5,0.5 acres,"House to let
Karen 5bedroom townhouse to let in a gated community to let located in the",KSh 400 000
4 Bedroom House,Karen,4,4,0.6 acres,"4 bedroom Villa for rent
Newly built 4 Bedroom Family Homes plus DSQ on 1/2 acre LOCATION:",KSh 600 000
4 Bedroom House,Kileleshwa,4,5,0.5 acres,"House for Rent in Kileleshwa

?? Location: Off Siaya Road, Kileleshwa
?? Rent: Ksh",KSh 150 000
5 Bedroom House,Runda,5,6,1 acres,Runda 450,KSh 450 000
5 Bedroom House,Loresho,5,5,0.5 acres,"To let.
Loresho - Modern 5 bedrooms,all ensuite plus DSQ for 2, Nestled in a secure gated",KSh 630 000
3 Bedroom House,Ngong,3,4,57 m²,"Bungalow for Rent - Ngong-Bondeni

?? Rent: KES 50,000 per month
?",KSh 50 000
5 Bedroom House,Ruiru,5,5,0.5 acres,"5 bedroom House ensuite In a gated community in Ruiru kamakis.
Spacious rooms 
On a 50 by",KSh 19 000 000
5 Bedroom House,Runda,5,4,0.5 acres,"*Runda*  *Two level mansion
* 5 bedrooms, 4 ensuite plus study
* Spacious parking lot,",KSh 400 000
3 Bedroom House,Syokimau,3,4,0.5 acres,"3 Bedroom All En-suite For Rent In Syokimau, Katani Road (rim house area)

        Call",KSh 55 000
2 Bedroom House,Kitisuru,2,2,0.55 acres,"All bedrooms ensuite
Living room opening up to a private garden
Fitted kitchen
Private",KSh 260 000
4 Bedroom House,Runda,4,4,2 025 m²,"A 4bdrm townhouse to let in runda.
A charming 4bdrm unfurnished townhouse,all ensuite with",KSh 250 000
4 Bedroom House,Nyari,4,4,0.5 acres,"A distinguished 4-bedroom ensuite house is available for sale in the heart of Nyari Estate,",KSh 350 000
5 Bedroom House,Kitisuru,5,5,0.48 acres,"Five bedrooms fully furnished with a private garden, DSQ and excellent security.",KSh 550 000
5 Bedroom House,Runda,5,5,0.2 ha,"Set in a tranquil environment within the Diplomatic Blue Zone of Runda, is this Modern",KSh 850 000
4 Bedroom House,Kiambu,4,6,1 acres,This stunning 4-bedroom all-ensuite villa is located at Amani Ridge Estate near Tatu City.,KSh 55 000
4 Bedroom House,Kileleshwa,4,4,0.5 acres,"To let. Outstanding 4 bedrooms bungalow study, plus lockable garage and dsq. @ksh230,000.",KSh 230 000
5 Bedroom House,Westlands,5,3,0.5 acres,"Well maintained 5bdrm unfurnished family house,master ensuite with a domestic staff",KSh 200 000
2 Bedroom House,Karen,2,1,52 acres,"- own compound in a gated community 
- secure 
- water 24/7
- ample parking 
- well lit",KSh 50 000
4 Bedroom House,Runda,4,5,0.5 acres,"RENT USD 4000
Experience charm and comfort in this fully furnished rustic villa in Runda.",KSh 516 000
2 Bedroom House,Kiambu Road,2,6,0.5 acres,"2 bedroom cottage with study that could be a cozy 3rd bedroom to let in  Kiambu Road

?",KSh 70 000
4 Bedroom House,Runda,4,5,,"Set in a tranquil environment within the Diplomatic Blue Zone of Runda, comprising",KSh 520 000
5 Bedroom House,Runda,5,6,0.5 acres,"Main bedroom with balcony and walk-in closet
    Kitchen with centre island and pantry",KSh 600 000
5 Bedroom House,Runda,5,6,0.5 acres,An extremely spacious and modern five bedroom double storey in the highly sought runda,KSh 400 000
4 Bedroom House,Syokimau,4,5,0.57 acres,"4 Bedroom Master En-suite Plus Dsq For Rent In Syokimau, Quarry Road 

      Call or",KSh 60 000
5 Bedroom House,Kitisuru,5,5,1 m²,"Five bedrooms in a serene location with modern interiors, a well kept garden, DSQ, wooden",KSh 370 000
6 Bedroom House,Runda,6,6,0.9 acres,L,KSh 550 000
5 Bedroom House,Runda,5,6,0.5 acres,"This 5-bedroom house in Runda features warm, neutral tones throughout. The high ceilings",KSh 350 000
3 Bedroom House,Kitisuru,3,3,0.5 acres,"Welcome to this modern complex in Kitisuru, Nairobi’s most prestigious neighborhood, where",KSh 450 000
5 Bedroom House,Riverside,5,5,1 acres,Experience a cozy and comfortable life in this exclusive double storey located in the most,KSh 280 000
5 Bedroom House,Rosslyn,5,6,0.1 acres,"Its a charming 5bdrm unfurnished family house, master ensuite with 3bdrm servant quarters.",KSh 700 000
4 Bedroom House,Ridgeways,4,4,0.5 acres,"Nestled in the tranquil and leafy neighborhood of Ridgeways, this charming 4-bedroom villa",KSh 350 000
6 Bedroom House,Runda,6,5,0.25 acres,"Runda 
6bedroom house plus two dsq available to let in  leafy suburbs of runda 
All",KSh 350 000
5 Bedroom House,Syokimau,5,6,0.75 acres,"5 Bedroom All En-suite Plus Dsq Townhouse For Rent In Syokimau, Off Mombasa Road",KSh 150 000
5 Bedroom House,Runda,5,5,0.5 acres,"All Ensuite 5 Bedrooms Plus Dsq House To Let In Runda??
??Runda Nairobi 
??Kes 420k  Per",KSh 420 000
2 Bedroom House,Karen,2,2,0.25 acres,"A Nice cottage located at hardy. nice and well secured area
Ideal for a couple or just a",KSh 85 000
1 Bedroom House,Ridgeways,1,1,0.5 acres,"Located at Ridgeways 
Rent inclusive bills 
Available now",KSh 35 000
4 Bedroom House,Mountain View,4,3,0.5 acres,"?? Mountain View

4-Bedroom Maisonette To Let

Residential Rent: KSh 160,000 per",KSh 160 000
4 Bedroom House,Runda,4,4,0.65 acres,"Runda, 4 bedroom all ensuite, family room, office room,  spacious 2 bedroom geust wing,",KSh 300 000
1 Bedroom House,Tigoni,1,2,0.5 acres,"Hi here is the property in Tigoni. 

- One bedroom , 2 baths house. 
- Sits on 15 acres.",KSh 125 000
5 Bedroom House,Lower Kabete,5,4,0.75 acres,"?
?
Light and bright contemporary living in an architectural masterpiece, this immaculate",KSh 450 000
4 Bedroom House,Syokimau,4,5,,"4 Bedroom Master En-suite For Rent In Syokimau, Katani Road
         Call or WhatsApp",KSh 70 000
5 Bedroom House,Runda,5,5,0.5 acres,"Runda 
Newly renovated 5 bedrooms with sq villa to let in the leafy suburbs or Runda",KSh 370 000
5 Bedroom House,Loresho,5,5,0.5 acres,"??To Let - Loresho 

A delightful 5-bedroom bungalow in Loresho, boasting a separate DSQ",KSh 300 000
4 Bedroom House,Kikuyu,4,3,0.5 acres,"To let kikuyu #70k
Own compound bungalow 
? 4 bedrooms  master ensuite now available 
?",KSh 70 000
1 Bedroom House,Kitisuru,1,1,1 acres,Introducing a charming semi-furnished studio in Old Kitisuru! This cozy space features an,KSh 70 000
1 Bedroom House,Runda,1,1,5 acres,"Newly finished, one bedroom, one bathroom guesthouse, open kitchen, space for dinning area,",KSh 50 000
4 Bedroom House,Syokimau,4,5,0.5 acres,"4 Bedroom All En-suite For Rent In Syokimau, Parliament Road 

      Call or WhatsApp",KSh 75 000
4 Bedroom House,Sigona,4,4,0.25 acres,"To let sigona Zambezi 
4 bedrooms  all ensuite 
~ ample parking with kids play area 
~",KSh 65 000
4 Bedroom House,Syokimau,4,5,1 acres,"4 Bedroom All En-suite For Rent In Syokimau, Parliament Road 

      Call or WhatsApp",KSh 75 000
5 Bedroom House,Riverside,5,5,0.65 acres,"Riverside 
5bedroom plus Dsq townhouse to let in a gated community 
All bedrooms en suite",KSh 300 000
5 Bedroom House,Karen,5,6,4 045 m²,"This is a 5 bedroom all en-suite townhouse, with seperate servant quarters for two, sitting",KSh 400 000
2 Bedroom House,Runda,2,2,0.5 acres,"RUNDA - Furnished 2 bedroom guest house with swimming pool

Located in Old Runda, 7",KSh 140 000
3 Bedroom House,Ruiru,3,2.5,1 acres,Kamiti road sharing compound of two three bedroom master ensuite 65k,KSh 65 000
4 Bedroom House,Runda,4,4,0.5 acres,". Easy access to Village market, UN, Embassy of the United States, Canadian Embassy, Polish",KSh 450 000
5 Bedroom House,Runda,5,5,0.5 acres,"Set in a tranquil environment within the Diplomatic Blue Zone of Runda, is this Modern",KSh 850 000
4 Bedroom House,Ridgeways,4,4,52 acres,"*Modern 4 bedroom town house to let in Ridgeways.
Rent- Ksh. 200,000

*Newly built house",KSh 250 000
5 Bedroom House,Runda,5,5,0.5 acres,"Runda 
5bedroom plus two dsq available to let in the leafy suburbs of runda 
-All",KSh 850 000
4 Bedroom House,Langata,4,3,0.2 m²,"#Bright_Properties...

4 Bedrooms Maisonette plus Dsq to let in Langata.

           ??",KSh 130 000
5 Bedroom House,Syokimau,5,4,,"?? Syokimau

5Bedroom maisonette for rent located in Syokimau along katani road",KSh 100 000
3 Bedroom House,Syokimau,3,4,0.5 acres,"SYOKIMAU, OFF MOMBASA ROAD
3 Bedroom Master En-suite Duplex For Rent In Syokimau, Kiungani",KSh 60 000
4 Bedroom House,Syokimau,4,5,4 045 m²,"Executive 4 bedroom apartment  to let in syokimau,+254712273177/0738621029
 If you have",KSh 100 000
3 Bedroom House,Kerarapon,3,2,4 045 m²,"?? Karen

#rental

A lovely 3 bedrooms with Dsq and an office for rent in Kerarapon",KSh 150 000
5 Bedroom House,Runda,5,5,0.5 acres,Located at the heart of Runda is this spacious standalone sitting on half an acre with,KSh 380 000
5 Bedroom House,Nyari,5,5,6 acres,"A stunning 5bdrm unfurnished family house,three ensuite with a domestic staff quarters. The",KSh 400 000
4 Bedroom House,Windsor,4,3,0.5 acres,"Benefiting from unrivalled security and set in a magical
mature garden, this home has four",KSh 4 000
4 Bedroom House,Westlands,4,4,0.5 acres,"To let.
Westlands , - A stunning 4 bedrooms home, attached to another,in a gatted of",KSh 400 000
5 Bedroom House,Loresho,5,5,0.5 acres,Suitated in loresho is this spacious standalone sitting on half an acre in a gated,KSh 300 000
3 Bedroom House,Kikuyu,3,2,0.2 acres,"#Sigona to let #45
3 bedrooms  new units 
? master bedroom  ensuite 
? gated of several",KSh 45 000
4 Bedroom House,Lavington,4,4.5,5 000 m²,Discover this stunning standalone 4-bedroom all en-suite house located in a serene and,KSh 450 000
2 Bedroom House,Runda,2,1,0.5 acres,"Located at Runda off Runda Grove 
Very secure area and quiet environment 
Available 1st",KSh 50 000
4 Bedroom House,Runda,4,3,0.5 acres,"4 bedroom stand-alone house all ensuite and a study room downstairs, The master bedroom has",KSh 350 000
5 Bedroom House,Lavington,5,5,0.5 acres,"Lavington
Modern 5 bedrooms with sq townhouse to let in the leafy suburbs of",KSh 420 000
5 Bedroom House,Runda,5,5,0.5 acres,"RUNDA: 
A Charming and new Quiet 5 Bedroom House for rent in Runda With Huge Lush Garden.",KSh 7 800 000
1 Bedroom House,Lavington,1,1,0.03 acres,"Lavington 
1bedroom fully furnished geust house to let in the leafy suburb of lavington",KSh 200 000
3 Bedroom House,Muthaiga,3,3,1 acres,"Old muthaiga.

An old type 3 bedrooms bungalow,all ensuite plus a study room, a garage,a",KSh 325 000
4 Bedroom House,Lavington,4,4,5 000 m²,This beautiful family home with four bedrooms (en-suite) ideally located in the,KSh 380 000
2 Bedroom House,Karen,2,3,200 m²,"#trending #youtube #househunting 

Located in Karen area Nairobi is this 2 bedroom (all",KSh 200 000
3 Bedroom House,Karen,3,2,0.6 acres,"This is a  ground floor apartment in a compound with few units.
It has 3 bedrooms with two",KSh 90 000
5 Bedroom House,Runda,5,6,5 000 m²,A Magnificent Five Bed (all ensuite) villa in this gated community off Mimosa road. Extras,KSh 400 000
4 Bedroom House,Loresho,4,2,0.5 acres,This is a lovely four bedrooms bungalow for rent.The house is located within a gated,KSh 250 000
6 Bedroom House,Runda,6,6,5 000 m²,"Exquisite 6-Bedroom Home in Old Runda - Ksh 400,000

Discover luxury living in this",KSh 400 000
4 Bedroom House,Runda,4,4,0.5 acres,Spacious four bedrooms all en suite in a serene location with modern interiors and,KSh 400 000
5 Bedroom House,Karen,5,5,8 acres,Looking for your dream home in Karen Windy Ridge area? Explore this gem! A 5-bedroom house,KSh 290 000
4 Bedroom House,Spring Valley,4,4,2 023 m²,In agated community of four houses the house offers spacious living room with fireplace and,KSh 350 000
3 Bedroom House,Nyali,3,3,5 acres,These unique 3 and 4 bedroom beach front villas are located in the autonomous suburbs of,"KSh 15 000
                            per day"
5 Bedroom House,Lavington,5,5,5 000 m²,5 Bedrooms Townhouse Townhouse To Let In Lavington  Lavington Off James Gichuru road Near,KSh 300 000
6 Bedroom House,Kitisuru,6,6,250 m²,"Selling This Magnificent 6 bedroom Mansion Sitting On 0.5acres Kitisuru Nairobi 
Features",KSh 110 000 000
4 Bedroom House,Runda,4,4,0.5 acres,"Runda 
4bedroom plus dsq house on 1/2acre land to let 
All bedroom en suite 
Soacious",KSh 350 000
7 Bedroom House,Runda,7,9,0.75 acres,This majestic family mansion is sitting on a 3/4 acre property located in the heart of,KSh 650 000 000
5 Bedroom House,Karen,5,5,450 m²,"This  5bedrooms all ensuite stand alone house with very high quality finishes

*Big",KSh 400 000
4 Bedroom House,Runda,4,4,0.5 acres,Located at the heart of Runda is this spacious standalone with a spacious lounge separate,KSh 380 000
4 Bedroom House,Syokimau,4,5,7 acres,"IN ATHI RIVER at SHALOM 
4 Bedroom Master En-suite Plus Dsq For Rent Along Mombasa Road,",KSh 90 000
4 Bedroom House,Rosslyn,4,4,5 acres,"Set in a tranquil environment within the Diplomatic Blue Zone of Nairobi, Gigiri area, Loft",KSh 300 000
5 Bedroom House,Runda,5,4,500 acres,"Photos
KSh 650 000 Per Month
5 Bedroom House to Rent in Runda
 5  5  5
AVAILABLE NOW
5",KSh 650 000
5 Bedroom House,Ngong Rd,5,3,10 000 m²,"TO LET: 5 BEDROOM HOUSE 

5 BEDROOMS,  2 MASTER ENSUITE+DSQ-

LOCATION : Golf course",KSh 100 000
4 Bedroom House,Spring Valley,4,3,1.5 ha,"This is abeautfull bungalow in spring valley build in two and half acre with good compound,",KSh 200 000
6 Bedroom House,Runda,6,7,1 acres,"This magnificent 6 bedroom house, each with its own bathroom, is a visual delight. With",KSh 500 000
4 Bedroom House,Windsor,4,3,4 000 m²,"To Let 

Price: $4000

Location: Ridgeways Just A Walking Distance To Braeburn",KSh 4 000
4 Bedroom House,Nyali,4,4,1 acres,"4bedrs mansionette to let located at Mombasa,nyali area with two House's shearing compound",KSh 100 000
4 Bedroom House,Muthaiga,4,4,1 acres,This beautiful ambassadorial property for rent in Muthaiga sits on an acre of perfectly,KSh 600 000
5 Bedroom House,Nyari,5,5,0.5 ha,"The house is in Nyari near the UN and the green Karura Forest.
The rent is USD",KSh 580 000
5 Bedroom House,Nyari,5,5,2 023 m²,In the gated community of Nyari estate off red hill road. It is well built five bedroom all,KSh 300 000
3 Bedroom House,Runda,3,3,0.5 acres,"A charming 3bdrm unfurnished bungalow,master ensuite with a 2bdrm servant quarters. The",KSh 3 000
1 Bedroom House,Diani,1,1,1 acres,"There is a choice of 1, 2 and 3 bedrooms cottages that are equipped for self catering. They","KSh 10 500
                            per day"
6 Bedroom House,Runda,6,6,0.5 acres,"This home is strategically located, in a serene location, close to the U.N headquarters and",KSh 600 000
3 Bedroom House,Syokimau,3,2,0.25 acres,"SYOKIMAU 
3 Bedroom Master En-suite Triplex For Rent In Syokimau, Mwananchi Road",KSh 40 000
4 Bedroom House,Garden Estate,4,3,0.5 acres,"TO LET
 Garden Estate

4 bedroom bungalow
½ acre property
Huge garden
Rent includes:",KSh 150 000
5 Bedroom House,Kyuna,5,5,0.5 acres,"?? To let - Loresho

 - Modern three levels 5 bedrooms,all ensuite plus DSQ for 2.
-",KSh 650 000
5 Bedroom House,Muthaiga North,5,5,,"This life full house has space, charm and quality to spare it’s a remarkable spacious",KSh 280 000
4 Bedroom House,Kyuna,4,5,1 acres,"4-Bedroom All-Ensuite House in Kyuna 
 
– Ksh. 260,000

Overview:
This luxurious",KSh 260 000
2 Bedroom House,Tigoni,2,2,1.5 acres,"For Lease: Kshs 200,000

Location: Tigoni

A spacious and modern 2-bedroom home (173",KSh 200 000
4 Bedroom House,Gigiri,4,3,2 025 m²,"PreviousN the serene and leafy suburb of Gigiri, this charming five-bedroom rustic cottage",KSh 350 000
3 Bedroom House,Kitengela,3,3,,"This residence by the name Kenpipe Gardens, is located 39 Km from Nairobi City Centre and",KSh 45 000
5 Bedroom House,Karen,5,5,4 045 m²,beautiful 5bedrooms home with Dsq in Karen on 1 Acre Guide Rent Kshs.350kGuide Sale,KSh 350 000
2 Bedroom House,Malindi,2,2,130 m²,"INVITING,  IMMACULATE VILLA  FOR THE DISCERNING
·        Spacious living area and",KSh 100 000
3 Bedroom House,Kitengela,3,3,0.5 acres,"This residence by the name Kenpipe Gardens, is located 39 Km from Nairobi City Centre and",KSh 45 000
4 Bedroom House,Muthaiga,4,4,1 acres,"Set in an extremely secure area,its a spacious and well lit four bedroom bungalow, three",KSh 470 000
2 Bedroom House,Gigiri,2,2,2 025 m²,"Available in the most sought after, serene & leafy Gigiri Road
-Two bedroom fully",KSh 3 200
5 Bedroom House,Loresho,5,5,0.75 acres,"To let.
Unfurnished.
Loresho - An ambassadorial 4 bedrooms,all ensuite, plus SQ for 3,",KSh 380 000
5 Bedroom House,Nyali,5,4,400 m²,Commercial property to rent at Nyali behind citymall Mombasa.,KSh 200 000
3 Bedroom House,Kahawa sukari,3,2,0.25 m²,"3 Bedroom quadplex for rent. Kahawa Sukari Estate.

3 bedrooms, 2 bathrooms (master",KSh 65 000
6 Bedroom House,Kitisuru,6,6,0.5 m²,Discover the epitome of elegance and comfort with this stunning ambassadorial villa set in,KSh 1 290 000
3 Bedroom House,Kitengela,3,3,,"This residence by the name Kenpipe Gardens, is located 39 Km from Nairobi City Centre and",KSh 45 000
3 Bedroom House,Kitengela,3,3,,"This residence by the name Kenpipe Gardens, is located 39 Km from Nairobi City Centre and",KSh 45 000
5 Bedroom House,Nyari,5,6,0.3 acres,"Its a charming 5bdrm unfurnished family house, all ensuite with a 2bdrm servant quarters.",KSh 300 000
5 Bedroom House,Nyari,5,5,0.5 acres,"Photos
KSh 4 500 Per Month
5 Bedroom House to Rent in Nyari
 5  6  2
A 5bdrm",KSh 4 500
3 Bedroom House,Langata,3,2,10 000 m²,"3bedroom to let in langata
Rent 65k
Call 0740761628",KSh 65 000
4 Bedroom House,Lavington,4,4,0.25 acres,Discover luxurious living with your family in this charming Standalone 4-Bedroom all,KSh 480 000
4 Bedroom House,Runda,4,2,1 acres,"Embrace this stylish with a charming 4bdrm unfurnished bungalow,master ensuite with a",KSh 250 000
4 Bedroom House,Kikuyu,4,3,978 m²,Kikuyu 4 bedrooms  to let gated community bungalow  master esuite,KSh 70 000
4 Bedroom House,Westlands,4,4,978 m²,Main bedroom with balcony and built-in cupboardsBathroom with bath and showerDining room,KSh 430 000
2 Bedroom House,Runda,2,2,0.5 acres,A tasteful 2bdrm full furnished guest wing. The unit has a big sitting cum dining,KSh 1 500
4 Bedroom House,Thigiri,4,5,978 m²,"Well maintained 4bdrm unfurnished family house,all ensuite with a domestic staff quarters.",KSh 450 000
4 Bedroom House,Kitisuru,4,4,0.5 acres,"Photos
KSh 350 000 Per Month
4 Bedroom House to Rent in Kitisuru
 4  4  2
A 4bdrm",KSh 350 000
5 Bedroom House,Ruiru,5,4,0.5 acres,It's 2025 and you  looking for a home  where love is real either for a bort term or long,KSh 120 000
4 Bedroom House,Runda,4,4,978 m²,"Main bedroom with balcony and built-in cupboards
Bathroom with basin and bath
Dining room",KSh 350 000 000
2 Bedroom House,Kilimani,2,2,0.5 acres,"Two bedroom fully furnished apartment to let located in the Suburb of Kilimani area 
Daily",KSh 160 000
3 Bedroom House,Rosslyn,3,2,0.5 acres,Roslyn lonetree: 3brm bungalow in own compound of half an acre. Master brm ensuite and the,KSh 379 905
4 Bedroom House,Runda,4,4,1 m²,"It's a well maintained 4bdrm unfurnished family house, three ensuite with a 2bdrm servant",KSh 320 000
4 Bedroom House,Westlands,4,4,400 m²,"EXERCUTIVE FULLY FURNISHED 4 BEDROOM TOWNHOUSE  + Guest Wing (All Ensuite, Gardens,",KSh 370 000
5 Bedroom House,Kitisuru,5,6,2 acres,"An extremely spacious and modern five bedroom house in the heart of kitisuru, all en-suite",KSh 550 000
4 Bedroom House,Runda,4,5,0.5 acres,"An extremely spacious and well lit four bedroom double storey in the heart of runda,",KSh 300 000
4 Bedroom House,Syokimau,4,3,0.5 m²,"SYOKIMAU 
4 Bedroom Master Ensuite Massionatte For Rent in Syokimau, Mwananchi Road",KSh 55 000
6 Bedroom House,Thigiri,6,6,0.5 acres,"This is an ambassadorial house in new Muthaiga, the house is highly finished, very spacious",KSh 500 000
2 Bedroom House,Karen,2,1,0.5 m²,Located in Karen and in a shared compound.Its a fully furnished and in a good,KSh 70 000
5 Bedroom House,Nyali,5,6,0.5 acres,Set within a serene lush Nyali suburb is this desirable 5 bedroom house on a half-acre lot.,KSh 300 000
4 Bedroom House,Tigoni,4,4,978 m²,Experience luxury living in this stunning 4-bedroom villa nestled within the prestigious,KSh 46 000 000
3 Bedroom House,Sigona,3,2,978 m²,"Thogoto 3 bedrooms  now available  gated town houses at 50k 
0701 381545",KSh 50 000
2 Bedroom House,Nanyuki,2,2,5 000 m²,"Am amazing standalone 2bedroom unit
Located approximately 1.8kms from cbd and only 500",KSh 35 000
4 Bedroom House,Lavington,4,4,2 025 m²,"Charming and spacious 4 bedrooms house for rent in a very secured place in Lavington,",KSh 250 000
4 Bedroom House,Rosslyn,4,4,0.5 acres,"A charming 4bdrm unfurnished family house,all ensuite with a 2bdrm servant quarters,covered",KSh 3 500
4 Bedroom House,Nyari,4,3,5 000 m²,A lovely and beautiful 4 bedroom 3 bathroom house in a gated community of 10 units in,KSh 200 000
5 Bedroom House,Kitisuru,5,3,2 m²,"A well kept five bedroom bungalow with character , master en suites with servants quarter,",KSh 350 000
4 Bedroom House,Runda,4,3,0.5 acres,"Beds 4 Bathroom 3 parking 2
Runda - 4 bedroom house for rent
Embrace charm and character",KSh 270 000
5 Bedroom House,Lavington,5,5,170 m²,5 Bedrooms Townhouse Townhouse To Let In Lavington ?? Lavington Off James Gichuru road Near,KSh 300 000
2 Bedroom House,Rosslyn,2,2,0.5 acres,2 Bedroom unfurnished apartment at Roslyn lone tree. Only 4 units in the compound. Asking,KSh 180 000
5 Bedroom House,Runda,5,5,0.25 acres,"One of the finest homes in Runda estate, is this 5 bedroom double storey home with stunning",KSh 400 000
4 Bedroom House,Runda,4,4,0.5 acres,"Runda Spacious and Fully Furnished Guestwing Renting at Kshs. 280,000. 

Its a 4 Bedroom",KSh 280 000
5 Bedroom House,Karen,5,5,0.7 acres,"Karen 
Charming 5bedroom plus dsq villa to let located in the leafy suburb of Karen",KSh 400 000
2 Bedroom House,Karen,2,1,1 acres,Two bedroom cottage to let located at Karen area near galleria mall the unit is available,KSh 55 000
